app_id,reviewId,userName,review,datetime
id.go.kpu.sirekap2024,fb13a1a8-ac62-4964-aedc-ac206ff72f11,Pengguna Google,saya iqba bagus baget wak :v,2025-05-05 16:02:11
id.go.kpu.sirekap2024,f3b7208e-357d-4d77-bbad-ef7f8f660efa,Pengguna Google,susah,2025-04-11 21:01:31
id.go.kpu.sirekap2024,f70062bd-2bd3-4548-b79e-f669e8957993,Pengguna Google,"kenapa yah kok aplikasi nya sudah tidak dapat digunakan lagi, padahal di email diarahkan mengunduh aplikasi ini?",2025-04-10 06:09:47
id.go.kpu.sirekap2024,e3032f2b-f222-4cb8-b94e-47f6c4f6aaea,Pengguna Google,sangat luar biasa,2025-04-09 18:01:01
id.go.kpu.sirekap2024,b1908b24-c9b1-4047-b629-d864d099d9d4,Pengguna Google,lemot,2025-03-21 05:54:32
id.go.kpu.sirekap2024,ee358a58-90e9-43a6-a3f9-9d88aab45772,Pengguna Google,Aplikasi terlelet sepanjang masa,2025-03-08 15:08:18
id.go.kpu.sirekap2024,c42f6449-fedd-4b8b-97e3-f89e36c120b7,Pengguna Google,Mantap,2025-02-07 19:57:05
id.go.kpu.sirekap2024,2c63d3c2-6390-43e8-92e4-9da38bc4c002,Pengguna Google,"Banyak penambahan fitur, terutama progres, sungguh sangat membantu di pilkada, semoga pemilu kedepan semakin canggih ... tengkyu kpu",2025-01-23 19:28:39
id.go.kpu.sirekap2024,7280c150-8ae8-4718-be0c-f78a4ab4fd09,Pengguna Google,Good game,2025-01-05 06:48:25
id.go.kpu.sirekap2024,e5acdf5d-a461-4886-a541-583a03a41836,Pengguna Google,Bagus,2024-12-30 03:55:32
id.go.kpu.sirekap2024,e6642ee0-da18-4434-838b-8ee9812e1301,Pengguna Google,Unuius wenda,2024-12-21 19:29:25
id.go.kpu.sirekap2024,105c92ef-fbcd-4d67-a111-f4b7038d2a0d,Pengguna Google,Sirekap pilkada belum bisa diupdate dr versi lama🙏,2024-12-18 05:24:22
id.go.kpu.sirekap2024,eb02aa9f-83d2-44bb-98e8-54fb6753037b,Pengguna Google,sangat membantu sekali,2024-12-17 23:46:36
id.go.kpu.sirekap2024,bd70f377-4087-442e-b6ea-f17e73761ba0,Pengguna Google,Terbaik,2024-12-12 08:13:58
id.go.kpu.sirekap2024,dc13c086-e9d2-403c-bc18-c6aaa80a966d,Pengguna Google,Pengalaman saya di pilkada 2024 yg kebetulan saya sendiri memegang sirekap Sangat bagus cepat dan akurat,2024-12-11 08:53:31
id.go.kpu.sirekap2024,a5adc232-3f9c-4957-a05e-d0a3d527bf02,Pengguna Google,Sangat membantu tugas KPPS dalam menghitung perolehan suara. Cuma kendala nya di sinyal kalau sinyal kurang mendukung ya tidak bisa unggah data,2024-12-05 07:29:33
id.go.kpu.sirekap2024,04a38ba8-7a05-45ff-ba64-7af32705c506,Pengguna Google,Untuk sekarang sirekap berjalan sesuai dengan yg di harapkan tidak pas waktu pemilu.. Semoga 5 tahun yg akan datang sirekap lebih baik pagi,2024-12-04 16:12:45
id.go.kpu.sirekap2024,361d1b75-2e98-4ae0-9d81-d9887d26b853,Pengguna Google,testo,2024-12-03 17:39:00
id.go.kpu.sirekap2024,77a6bdae-2db7-49a9-a930-4f57dbe4dbba,Pengguna Google,👍,2024-12-03 16:09:58
id.go.kpu.sirekap2024,d1769a45-508c-4d0e-8953-356cf786dacb,Pengguna Google,Kenapa ungah daftar gak bisa,2024-12-03 11:16:31
id.go.kpu.sirekap2024,ea594fff-9d0d-4245-858b-50fb66c147da,Pengguna Google,"Aplikasi sudah lebih baik daripada sirekap pilpres, saran saya, untuk kamera lebih baik menggunakan setting mode kamera biasa saja daripada kamera mode malam, karena di banyak device lebih bagus hasil potret menggunakan kamera biasa walaupun saat malam hari",2024-12-03 09:42:28
id.go.kpu.sirekap2024,fb557927-b051-4762-9c36-a11bf6cb7f93,Pengguna Google,Baik,2024-12-03 00:31:53
